city,postal
Cernay,68
Kourou,97
Païta,98
Banyuls-sur-Mer,66
Wimereux,62
Vancouver
Villenave-d'Ornon,33
Angers,49
Paris 12e Arrondissement,75
Saint-Maurice,94
Surgères,17
Rungis,94
Beaumont-sur-Lèze,31
Massy,91
Santes,59
Dammarie-les-Lys,77
Paris 13e Arrondissement,75
Saint-Pierre,97
Fouquières-lès-Lens,62
Roubaix,59
Guyancourt,78
Benquet,40
Marseille,13
Bourg-en-Bresse,01
Bourg-la-Reine,92
Liévin,62
Las Condes Santiago
Marcoussis,91
Le Plessis-Robinson,92
Tremblay-en-France,93
Villeneuve-sur-Lot,47
Saint-Marcel-lès-Valence,26
Verrières-le-Buisson,91
Villeneuve-d'Ascq,59
Montréal
Guéret,23
La Ferté-Gaucher,77
Corbeil-Essonnes,91
Wavrechain-sous-Denain,59
Brive-la-Gaillarde,19
Nouméa,98
Saint-Étienne-du-Rouvray,76
Saint-Étienne-Rouvray,76
Rocquencourt,78
Bry-sur-Marne,94
Perpignan,66
Saint-Laurent-du-Maroni,97
Saint-Nazaire,44
Jacob-Bellecombette,73
NOUMEA
Brest,29
Barleux,80
Saint-Brieuc,22
Vitrolles,13
Rouen,76
Bretenière,21
Roscoff,29
Les Houches,74
Saint-Cloud,92
Alénya,66
Rio de Janeiro
Saint-Brevin-les-Pins,44
Nevers,58
Bouguenais,44
Montrouge,92
Puget-Théniers,06
Saint-Domineuc,35
Moustoir-Ac,56
Charleville-Mézières,08
Sognolles-en-Montois,77
Le Carbet,97
Santigo du Chili
Puteaux,92
Sainte-Foy-lès-Lyon,69
Montigny-le-Bretonneux,78
Roézé-sur-Sarthe,72
Venasque,84
Auzeville-Tolosane,31
Échirolles,38
Montbonnot-Saint-Martin,38
Laqueuille,63
Carquefou,44
George
Ploudaniel,29
Belfort,90
Chatou,78
Versailles,78
Tsukuba
Saint-Paul-lès-Durance,13
Saint-Paul-lèz-Durances,13
Saint-Paul-lèz-Durance,13
Saint-Sauveur,31
Saint-Martin-d'Hères,38
Bagnols-sur-Cèze,30
Gruissan,11
Saint-Mihiel,55
Bures-sur-Yvette,91
Caraman,31
Hordain,59
Saint-Martin-de-Hinx,40
Wavrin,59
Les Ulis,91
Ronchin,59
Le Touquet-Paris-Plage,62
Mulhouse,68
Saint-Denis-de-Gastines,53
Tende,06
L'Houmeau,17
Dunkerque,59
Château-Gontier-sur-Mayenne,53
Brissac Loire Aubance,49
Gourbeyre,97
Bouin,85
Vigneulles-lès-Hattonchâtel,55
Saint-Fons,69
Saint-Mandé,94
Audun-le-Tiche,57
Valbonne,06
Besançon,25
Albi,81
Limoges,87
Beaucouzé,49
Villeneuve-le-Roi,94
Pierre-Bénite,69
Toulenne,33
Montluçon,03
SOPHIA ANTIPOLIS,06
Estrées-Mons,80
Tel-Aviv
Roanne,42
Aurillac,15
Nanteuil-le-Haudouin,60
La Jolla
Grenoble,38
Bruyères-le-Châtel,91
Aubière,63
Chasseneuil-du-Poitou,86
Saint-Laurent-de-la-Prée,17
Famars,59
Ajaccio,20
Champs-sur-Marne,77
Marne-la-vallée,77
Ville-d'Avray,92
Saint-Hilaire-de-Riez,85
Damigny,61
Bristol
Les Ponts-de-Cé,49
Rouillé,86
Ploufragan,22
Narbonne,11
Buenos Aires
Nîmes,30
Saint-Père-en-Retz,44
Saint-Priest-en-Jarez,42
Le Grand-Quevilly,76
Vignoux-sur-Barangeon,18
Corte,20
Caen,14
Saint-Pierre-d'Amilly,17
Rennes,35
Cestas,33
Bruz,35
Antibes,06
Mons-en-Pévèle,59
Le Caire
La Verrière,78
Bordeaux,33
Concarneau,29
Castres,81
Le Blanc-Mesnil,93
Montguyon,17
Clichy,92
Montrozier,12
Ivry-sur-Seine,94
Vallon-sur-Gée,72
Les Petites-Loges,51
Épron,14
Asnières-sur-Seine,92
La Mulatière,69
Hérouville-Saint-Clair,14
Bizanet,11
Palaiseau,91
Moulins-lès-Metz,57
Archamps,74
Reims,51
Déville-lès-Rouen,76
Suresnes,92
Cormeilles-en-Parisis,95
Salon-de-Provence,13
Redon,35
Pamandzi,97
Saint-Gengoux-le-National,71
Valence,26
Douai,59
Tain-l'Hermitage,26
Nouzilly,37
Javené,35
Robert-Espagne,55
Villeneuve-Saint-Germain,02
Marignane,13
Figeac,46
Bourg-lès-Valence,26
Villefranche-sur-Saône,69
La Chapelle-sur-Erdre,44
La Hague,50
Saint-Médard-en-Jalles,33
Toulouse,31
Moscou
Clamart,92
Marseillan,34
Nice,06
Villefranche-sur-Mer,06
Nantes,44
Montpellier,34
Mexico
Oullins-Pierre-Bénite,69
Montoire-sur-le-Loir,41
Cargèse,20
Le Chesnay-Rocquencourt,78
Gardanne,13
Plouzané,29
Osmoy,18
Quimper,29
Saint-Pée-sur-Nivelle,64
Epagny Metz-Tessy,74
Peynier,13
Arras,62
Grabels,34
Tourcoing,59
Blagnac,31
Shanghaï
Jouy-en-Josas,78
Lyon,69
Bobigny,93
Saint-Clément-de-Rivière,34
Le Robert,97
Eysines,33
Aubagne,13
Cournon-d'Auvergne,63
Dembeni,97
Issy-les-Moulineaux,92
Washington D.C.
Châteauneuf-sur-Loire,45
Brétigny-sur-Orge,91
Chambéry,73
Le Raincy,93
Valenciennes,59
Saint-Aubin,91
Feurs,42
Saint-Ismier,38
Anglet,64
Le Petit-Quevilly,76
Seoul
Villeurbanne,69
Saint-Jacques-de-la-Lande,35
Compiègne,60
Papeete,98
Muides-sur-Loire,41
Montfavet,84
La Seyne-sur-Mer,83
Cavaillon,84
Saint-Saturnin-du-Bois,17
Bélâbre,36
Loos,59
Blaye-les-Mines,81
Pontoise,95
Les Abymes,97
Tokyo
Le Creusot,71
Kelambakkam
Saint-Gilles
Avignon,84
Saint-Genès-Champanelle,63
Fort-de-France,97
Ricaud,11
Fontenay-aux-Roses,92
Grasse,06
Calais,62
Cayenne,97
Vendranges,42
Rancennes,08
LA TRONCHE,38
Évreux,27
Péronne,80
Sainte-Anne,97
Le Bourget,93
Mauguio,34
Saint-Genis-Laval,69
Villetaneuse,93
Londres
Vitry-sur-Seine,94
Rambouillet,78
Moulis,09
Pessac,33
Illkirch-Graffenstaden,67
Québec
Colmar,68
Frans,01
Sceaux,92
Malakoff,92
Saint-Agnant,17
Saint-Denis
Antony,92
Champenoux,54
Cherbourg-en-Cotentin,50
Biéville-Beuville,14
Seyssins,38
Créteil,94
Saint-Cyr-l'École,78
Vaulx-en-Velin,69
Bron,69
Clermont-Ferrand,63
Roche-la-Molière,42
Poitiers,86
Saint-Contest,14
Cases-de-Pène,66
Fougères,35
Saint-Louis,68
Boulogne-Billancourt,92
Durrenentzen,68
Palavas-les-Flots,34
Supt,39
Vic-sur-Seille,57
Pontorson,50
Châtillon,92
Saint-Paul,97
Margny-lès-Compiègne,60
Kremlin-Bicêtre,94
Saint-Ouen-sur-Seine,93
Nogent-sur-Vernisson,45
Soignolles-en-Brie,77
Saint-Pierre-lès-Nemours,77
Thonon-les-Bains,74
Meudon,92
La Roche-sur-Yon,85
Chanteau,45
Troyes,10
Vélizy-Villacoublay,78
Gif-sur-Yvette,91
Berkeley
Saint Antoine l'Abbaye,38
Tucson
Chaingy,45
Saint-Herblain,44
Lorient,56
Saint-Cyprien,66
Bagnols-sur-Ceze,30
Villeneuve-sur-Yonne,89
Laval,53
Noyelles-sous-Lens,62
Paris,75
Neuilly-sur-Seine,92
Coulounieix-Chamiers,24
Lannion,22
Jerusalem,00
